feature,horizon,IC_mean,RankIC_mean,IC_std,negative_IC_ratio,n_folds,n_samples_mean
addr_log1p,1,-0.014271373613389845,-0.01035015825308436,0.05195802273464903,0.7058823529411765,17,182.7058823529412
addr_log1p,2,-0.02862362341285643,-0.03176289333276364,0.07180841297132526,0.5882352941176471,17,182.7058823529412
addr_log1p,3,-0.035031536558098104,-0.032151315018683464,0.06826959180167477,0.7647058823529411,17,182.7058823529412
addr_log1p,5,-0.02688593860268332,-0.038284632445213275,0.0834941240494897,0.5882352941176471,17,182.7058823529412
addr_log1p,7,-0.04399740105114956,-0.04848908560105897,0.09022377335473616,0.5882352941176471,17,182.7058823529412
addr_log1p,10,-0.06713206224591524,-0.07663072055497476,0.0965745673819268,0.8235294117647058,17,182.7058823529412
addr_log1p,14,-0.04411370132927168,-0.04608677588279604,0.11648084702744685,0.6470588235294118,17,182.7058823529412
addr_log1p,21,-0.060139062238020916,-0.054841893606228105,0.13436625497808555,0.7058823529411765,17,182.7058823529412
addr_log1p,30,-0.06922504708481156,-0.06905845266855873,0.14378350922822233,0.7647058823529411,17,182.7058823529412
addr_log1p,45,-0.07085947317696142,-0.08837684076869619,0.19858021961742534,0.6470588235294118,17,182.7058823529412
addr_log1p,60,-0.10113298256866532,-0.10711242120707207,0.2135502453347423,0.6875,16,182.625
addr_log1p,90,-0.10207953944230785,-0.10592763864300483,0.237879707476739,0.8125,16,182.625
addr_log1p,120,-0.07602416230438422,-0.051754510266728754,0.29589804032490336,0.5625,16,182.625
addr_log1p,180,-0.16356539352525112,-0.14473478730254044,0.3018122653201239,0.6666666666666666,15,182.6
addr_ma7_dev,1,0.0012127612543908007,-0.0048863477770289005,0.05864828712674567,0.47058823529411764,17,182.7058823529412
addr_ma7_dev,2,-0.008319687195940765,-0.019811042189396662,0.08128098190872861,0.5882352941176471,17,182.7058823529412
addr_ma7_dev,3,-0.006396722256007211,-0.0013024782991225207,0.06902617019722739,0.5882352941176471,17,182.7058823529412
addr_ma7_dev,5,0.015686483020202764,0.009861598023913745,0.05933803078117021,0.35294117647058826,17,182.7058823529412
addr_ma7_dev,7,-0.0036483258360167047,-0.007677380397393295,0.0455496755569572,0.5294117647058824,17,182.7058823529412
addr_ma7_dev,10,-0.025178092393479224,-0.03831537406566171,0.04213684593273289,0.7647058823529411,17,182.7058823529412
