scope,strategy,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover
oos,full_exposure_sign,1.0,0.9251148004238785,0.07488519957612151,7.561583671683001,0.20440942486506342,0.38889509378248655,-0.7334899842034086,0.09065021357380161
oos,sign_band_0.001,0.9971741434122219,0.9233486400565172,0.0738255033557047,7.717050775286321,0.20628823027442422,0.3931489022923326,-0.7397400565548727,0.09112482202183199
oos,sign_band_0.0025,0.9936418226774991,0.9208760155422112,0.07276580713528788,10.045844077925805,0.23128265100170853,0.44273239778583917,-0.726270158039044,0.09207403891789274
oos,sign_band_0.005,0.9886965736488873,0.9194630872483222,0.06923348640056518,11.723905962151054,0.2464585790956597,0.47323168689956474,-0.7259802845052621,0.09159943046986237
oos,sign_band_0.01,0.9756269869304133,0.9106322854115154,0.06499470151889791,10.739401636003707,0.2377943592901941,0.46156590284104904,-0.7168496550437793,0.09444708115804461
oos,sign_band_0.02,0.7926527728717767,0.7380784175203109,0.05457435535146591,7.316807871518204,0.2013872131185077,0.41671281326787174,-0.7155776674735743,0.12149976269577599
oos,long_only_sign,0.9251148004238785,0.9251148004238785,0.0,7.936575559125886,0.20888970321188594,0.4311051876567312,-0.7364590683984226,0.045562411010915994
oos,long_only_band_0.001,0.9233486400565172,0.9233486400565172,0.0,7.989129125344956,0.20950382215555363,0.43302609387540714,-0.7364590683984225,0.04603701945894637
oos,long_only_band_0.0025,0.9208760155422112,0.9208760155422112,0.0,10.611708399157267,0.23662233710444625,0.4915775999401433,-0.7223003095196133,0.04746084480303749
oos,long_only_band_0.005,0.9194630872483222,0.9194630872483222,0.0,11.741580221551109,0.2466084514778819,0.5128278560163214,-0.7223003095196141,0.04935927859515899
oos,long_only_band_0.01,0.9106322854115154,0.9106322854115154,0.0,9.078477053894858,0.2215467583631774,0.464939175811729,-0.722300309519613,0.054579971523493115
oos,long_only_band_0.02,0.7380784175203109,0.7380784175203109,0.0,7.444609154226239,0.20297514214436996,0.4566914974258709,-0.7177381360866888,0.08637873754152824
oos,quantile_ls_0.50,1.0,0.5,0.5,-0.9314462760519036,-0.20716718532325906,-0.39405802528037076,-0.976044960308714,0.16563834836260086
oos,quantile_ls_0.40,0.8000706464146945,0.40003532320734725,0.40003532320734725,-0.8371444024948038,-0.14546576015768353,-0.29977537452632913,-0.9523106075452845,0.1855719031798766
