model,task,variant,selected_feature_count,cnn_lstm_classification_full_history_accuracy,cnn_lstm_classification_full_history_precision,cnn_lstm_classification_full_history_recall,cnn_lstm_classification_full_history_f1,cost_bps,cumulative_return,annualised_return,annualised_volatility,max_drawdown,sharpe_ratio,turnover,n_days,cnn_lstm_classification_oos_accuracy,cnn_lstm_classification_oos_precision,cnn_lstm_classification_oos_recall,cnn_lstm_classification_oos_f1,cnn_lstm_regression_oos_mae,cnn_lstm_regression_oos_mse,cnn_lstm_regression_oos_rmse,cnn_lstm_regression_oos_ic,cnn_lstm_regression_oos_rank_ic,cnn_lstm_oos_rank_ic,gru_classification_oos_accuracy,gru_classification_oos_precision,gru_classification_oos_recall,gru_classification_oos_f1,gru_regression_oos_mae,gru_regression_oos_mse,gru_regression_oos_rmse,gru_regression_oos_ic,gru_regression_oos_rank_ic,gru_oos_rank_ic,lasso_regression_oos_mae,lasso_regression_oos_mse,lasso_regression_oos_rmse,lasso_regression_oos_ic,lasso_regression_oos_rank_ic,lasso_oos_rank_ic,lgbm_classification_oos_accuracy,lgbm_classification_oos_precision,lgbm_classification_oos_recall,lgbm_classification_oos_f1,lgbm_regression_oos_mae,lgbm_regression_oos_mse,lgbm_regression_oos_rmse,lgbm_regression_oos_ic,lgbm_regression_oos_rank_ic,lgbm_oos_rank_ic,lstm_classification_oos_accuracy,lstm_classification_oos_precision,lstm_classification_oos_recall,lstm_classification_oos_f1,lstm_regression_oos_mae,lstm_regression_oos_mse,lstm_regression_oos_rmse,lstm_regression_oos_ic,lstm_regression_oos_rank_ic,lstm_oos_rank_ic,rf_classification_oos_accuracy,rf_classification_oos_precision,rf_classification_oos_recall,rf_classification_oos_f1,rf_regression_oos_mae,rf_regression_oos_mse,rf_regression_oos_rmse,rf_regression_oos_ic,rf_regression_oos_rank_ic,rf_oos_rank_ic,svm_classification_oos_accuracy,svm_classification_oos_precision,svm_classification_oos_recall,svm_classification_oos_f1,cost,svm_regression_oos_mae,svm_regression_oos_mse,svm_regression_oos_rmse,svm_regression_oos_ic,svm_regression_oos_rank_ic,svm_oos_rank_ic,tcn_classification_oos_accuracy,tcn_classification_oos_precision,tcn_classification_oos_recall,tcn_classification_oos_f1,tcn_regression_oos_mae,tcn_regression_oos_mse,tcn_regression_oos_rmse,tcn_regression_oos_ic,tcn_regression_oos_rank_ic,tcn_oos_rank_ic,xgboost_classification_oos_accuracy,xgboost_classification_oos_precision,xgboost_classification_oos_recall,xgboost_classification_oos_f1,xgboost_regression_oos_mae,xgboost_regression_oos_mse,xgboost_regression_oos_rmse,xgboost_regression_oos_ic,xgboost_regression_oos_rank_ic,xgboost_oos_rank_ic,predictive_score,trading_score,rmse,ic,predictive_rank,trading_rank
rf,classification,onchain,58.0,,,,,5.0,1.2414531249869951,0.0724115722665965,0.3364519208953865,-0.6070184365823594,0.2152211587138228,0.3554817275747508,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5151889791593076,0.5216381063026431,0.6205943331029716,0.5668297301562253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5668297301562253,1.2414531249869951,,,18.0,11.0
rf,classification,all,78.0,,,,,5.0,1.1376361902930312,0.0680155089186917,0.3671223875442555,-0.7857744484393407,0.185266579283435,0.3630754627432368,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5187212998940304,0.5237426243326777,0.6440912232204561,0.5777157911049124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5777157911049124,1.1376361902930312,,,17.0,12.0
rf,classification,boruta_ta,9.0,,,,,5.0,0.9461079504781617,0.0593671326324938,0.35844369969403,-0.7325844936363084,0.1656247067061578,0.3113431419079259,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505121865065348,0.5183559457302475,0.44885970974429856,0.48111111111111116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48111111111111116,0.9461079504781617,,,32.0,13.0
xgboost,classification,boruta_ta,9.0,,,,,5.0,0.7463311328218951,0.0494748788594985,0.350963877244088,-0.8105321943910725,0.1409685784417345,0.3725676317038443,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5033557046979866,0.5148335745296672,0.4917069799585349,0.5030045952633441,,,,,,,0.5030045952633441,0.7463311328218951,,,29.0,14.0
xgboost,classification,ta,21.0,,,,,5.0,0.6566362086961386,0.0446927671899968,0.3534358794457983,-0.5229696532503445,0.1264522641563071,0.3156146179401993,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5075944895796538,0.5186357243319268,0.5096751900483759,0.5141164168699894,,,,,,,0.5141164168699894,0.6566362086961386,,,28.0,15.0
cnn_lstm,classification,boruta_onchain,22.0,,,,,5.0,0.641326652815781,0.0438529935153264,0.3648985114148256,-0.6907269596214856,0.1201786034842803,0.1414333175130517,4214.0,0.5054750971388202,0.5089728904161894,0.9212163096060816,0.6556812592228234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6556812592228234,0.641326652815781,,,3.0,16.0
lgbm,classification,boruta_all,28.0,,,,,5.0,0.3779419846079912,0.0281574631325085,0.3395655500339462,-0.5711807395563855,0.0829220253046684,0.3559563360227812,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5166019074531968,0.5176285650123512,0.7964754664823773,0.6274669933306111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6274669933306111,0.3779419846079912,,,9.0,17.0
lgbm,classification,ta,21.0,,,,,5.0,0.2885758540764345,0.0222033300085466,0.3639605789967784,-0.7273980863275591,0.0610047661473338,0.3046986236355007,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5134228187919463,0.5167107477759076,0.7425708362128541,0.6093860768467319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6093860768467319,0.2885758540764345,,,15.0,18.0
lgbm,classification,boruta_ta,9.0,,,,,5.0,0.070540625408044,0.0059215400772534,0.3452062002603125,-0.7390826661861503,0.0171536318663689,0.3189368770764119,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5128929706817379,0.5148342059336823,0.8154803040774016,0.631184808772399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631184808772399,0.070540625408044,,,8.0,19.0
lstm,classification,onchain,58.0,,,,,5.0,-0.059737935504352,-0.0053210508455791,0.3233828350086776,-0.7495826763453413,-0.0164543391594557,0.0859041290934978,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5111268103143766,0.5111268103143766,1.0,0.6764843384759234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6764843384759234,-0.059737935504352,,,1.0,20.0
