horizon,IC_mean,IC_median,IC_std,RankIC_mean,OOS_R2_mean,direction_acc_mean,negative_IC_ratio,n_folds
1,-0.028394883046715585,-0.00792497224243218,0.07978605197137223,-0.024382088559023383,-0.012604061950193694,0.49547694503510203,0.6470588235294118,17
3,-0.06898013032174832,-0.04922283612822052,0.11036679465129846,-0.06615903680726007,-0.029843479961493523,0.5009184038591343,0.7058823529411765,17
7,-0.01450490358241131,-0.04004132567965426,0.18011896168428038,-0.02419693072842669,-0.02187412633712522,0.5175399270662601,0.5882352941176471,17
14,-0.0644358262684843,-0.04556157236312869,0.15083142922377601,-0.04729825612644207,-0.027580772956050346,0.5319677140695451,0.5294117647058824,17
30,0.10955859421449825,0.15491664666894944,0.2220080229938988,0.09437929714144894,-0.0781725640926204,0.5201709771174873,0.17647058823529413,17
