prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,regression,boruta_ta,long_only_sign,5.0,0.7970681737901801,0.7970681737901801,0.0,1.119296168847232,0.06721870839620236,0.14397010761716086,-0.7447424701590223,0.11058376839107736,4214
oos,lgbm,regression,boruta_ta,quantile_long_only_0.20,5.0,0.2061109148710703,0.2061109148710703,0.0,0.8494837944827696,0.05470464792668328,0.2181608473520313,-0.6449116699618561,0.09397247271001424,4214
oos,lgbm,regression,boruta_ta,long_only_band_0.01,5.0,0.0021193924408336277,0.0021193924408336277,0.0,-0.07072142626587374,-0.006332864998558008,-0.6527816470426262,-0.07215541588952967,0.0023730422401518746,4214
oos,lgbm,regression,boruta_ta,sign_band_0.01,5.0,0.028611797951253973,0.0021193924408336277,0.026492405510420345,-0.2506623686798979,-0.0246846378002632,-0.28280562703483,-0.34621760037045923,0.021357380161366873,4214
oos,lgbm,regression,boruta_ta,long_only_band_0.0025,5.0,0.18809607912398446,0.18809607912398446,0.0,-0.3216523170072394,-0.033056564505118735,-0.14068328114626755,-0.6403503212575092,0.09065021357380161,4214
oos,lgbm,regression,boruta_ta,long_only_band_0.005,5.0,0.01130342635111268,0.01130342635111268,0.0,-0.3479285722454123,-0.036359636523069616,-0.4968674817716924,-0.3904368889071091,0.012339819648789748,4214
oos,lgbm,regression,boruta_ta,quantile_long_only_0.05,5.0,0.056870363829035674,0.056870363829035674,0.0,-0.3804430409670001,-0.04061947120211662,-0.27303217417145437,-0.4423277746988268,0.04603701945894637,4214
oos,lgbm,regression,boruta_ta,full_exposure_sign,5.0,1.0,0.7970681737901801,0.20293182620981984,-0.5189825257664995,-0.061422732718526496,-0.11665504279149189,-0.938100832249125,0.22116753678215473,4214
oos,lgbm,regression,boruta_ta,quantile_ls_0.20,5.0,0.40639350052984813,0.2061109148710703,0.20028258565877782,-0.5687261187428004,-0.07025518681895881,-0.20167507820542058,-0.8855769822882552,0.20218319886093972,4214
oos,lgbm,regression,boruta_ta,sign_band_0.005,5.0,0.05669374779229954,0.01130342635111268,0.04539032144118686,-0.6110130190283202,-0.07852873126611515,-0.5943110587117938,-0.6943587444739356,0.03986710963455149,4214
oos,lgbm,regression,boruta_ta,quantile_ls_0.05,5.0,0.10808901448251501,0.056870363829035674,0.05121865065347934,-0.6341998781830833,-0.08342098327593539,-0.44406714030909816,-0.7232452877697652,0.07736117702895111,4214
oos,lgbm,regression,boruta_ta,quantile_long_only_0.10,5.0,0.10102437301306959,0.10102437301306959,0.0,-0.6438693258758945,-0.08554533558826971,-0.47560288977073467,-0.7007700329880008,0.054105363075462744,4214
oos,lgbm,regression,boruta_ta,sign_band_0.0025,5.0,0.2571529494878135,0.18809607912398446,0.06905687036382903,-0.7546032335207887,-0.11457281144009479,-0.416145931284861,-0.8427937256575617,0.13099193165638348,4214
oos,lgbm,regression,boruta_ta,quantile_ls_0.10,5.0,0.21423525256093254,0.10102437301306959,0.11321087954786295,-0.7959897367384472,-0.12862561303067055,-0.5036708863246742,-0.8708131138082228,0.1134314190792596,4214
