family,model,task,variant,prediction_start,best_return_strategy,best_return,best_return_sharpe,best_return_mdd,best_sharpe_strategy,best_sharpe,best_sharpe_return,best_sharpe_mdd,cycle_2016_2020_return_bestret,cycle_2016_2020_sharpe_bestret,cycle_2016_2020_return_bestsh,cycle_2016_2020_sharpe_bestsh,cycle_2020_2024_return_bestret,cycle_2020_2024_sharpe_bestret,cycle_2020_2024_return_bestsh,cycle_2020_2024_sharpe_bestsh,cycle_2024_end_return_bestret,cycle_2024_end_sharpe_bestret,cycle_2024_end_return_bestsh,cycle_2024_end_sharpe_bestsh
ml,xgboost,classification,boruta_onchain,2018-03-17,sign_band_0.01,42.40778426093396,0.7537426118862827,-0.6057339229106922,long_only_band_0.01,0.8191185864203532,22.0417023459464,-0.5921887374976816,5.282850373736451,1.1153928147114656,2.1423944954756786,0.910779242905164,6.484677461833188,1.0939348252646552,5.678966640525237,1.2942245149210805,-0.1083897015192379,-0.1254431279131968,0.0789533805964362,0.1191865863731694
ml,rf,classification,boruta_onchain,2018-03-17,sign_band_0.005,40.34643182512514,0.7561050977579902,-0.6274670971871302,quantile_long_only_0.05,1.0450031653942429,4.176837924182931,-0.1605989470375443,8.01345118619793,1.4295123130496512,1.6784872347118105,1.706521122640074,7.549912027748064,1.212093514540019,0.985652580489637,1.0315156273669843,-0.4629700542319451,-0.6090139349696467,-0.0266439717721275,-0.7248618247857579
ml,xgboost,classification,onchain,2018-03-17,sign_band_0.0025,27.79714096989992,0.6475889289849496,-0.7452383887104599,long_only_sign,0.6848025561535491,14.203503483071511,-0.5879906279789282,11.10978958896234,1.6330423557760063,2.4784907358464072,0.9469063596619538,2.406520591958314,0.588216692501514,4.163304201531342,1.089317379019718,-0.2751179012086292,-0.3279444067030006,-0.1374239642681471,-0.2162163616979253
dl,tcn,classification,onchain,2018-03-17,full_exposure_sign,24.505071500802654,0.617028535006124,-0.6711760540870751,long_only_sign,0.6928005420116012,14.43208116948193,-0.6714213331485414,1.7974453310588676,0.5448592365303051,0.7585663516879673,0.3321301425424385,8.559766441586431,1.2397990074404863,7.423404515735827,1.7139959709545656,-0.0444241303890313,-0.0493118847737296,0.0427766723446612,0.0767331723371051
dl,gru,classification,boruta_onchain,2018-03-17,long_only_band_0.01,14.884653713296904,0.6631636863334369,-0.6072212471600761,quantile_long_only_0.10,0.7237863683109368,3.158015578171664,-0.2414061344893047,0.5764960723894095,0.2855944994179924,0.7652233606657859,0.6593164374043874,6.954225606827411,1.5016108695415356,1.104191681743738,1.1127789505043812,0.2673104939502213,0.3102890109798455,0.1194408386518213,0.6163276576927476
dl,cnn_lstm,classification,boruta_onchain,2018-03-17,long_only_band_0.005,11.741580221551107,0.5128278560163214,-0.7223003095196141,quantile_long_only_0.05,0.7739688429178643,2.4350368035418404,-0.1869278899895192,0.1217002555474335,0.0634346656305706,2.028685560164132,1.4653500299364188,8.991766094569174,1.350086778472742,0.1551339134542428,0.3515684924163273,0.1367975932151548,0.1450239272937162,0.0,0.0
ml,svm,classification,boruta_onchain,2018-03-17,long_only_band_0.0025,9.193893950535202,0.4237227767676287,-0.7663456370856908,long_only_band_0.0025,0.4237227767676287,9.193893950535202,-0.7663456370856908,0.1315607553951208,0.0579198670229936,0.1315607553951208,0.0579198670229936,6.422121039177069,1.0602187917749415,6.422121039177069,1.0602187917749415,0.2137049743106147,0.2238760532358777,0.2137049743106147,0.2238760532358777
ml,rf,classification,onchain,2018-03-17,full_exposure_sign,9.156963692569455,0.4235654928894148,-0.7218663348930398,long_only_sign,0.5338942747237079,8.743395317969332,-0.7158325987323135,7.269176473433324,1.3028652327932824,2.025005944999247,0.8280593019335665,-0.0397628548444478,-0.0163947435075372,1.6696434813769598,0.5547268017724907,0.3256234161925639,0.3331402057527908,0.22819918102903,0.2964627387211033
dl,lstm,classification,onchain,2018-03-17,long_only_sign,8.327991851333085,0.4056287649634513,-0.7663456370856907,long_only_sign,0.4056287649634513,8.327991851333085,-0.7663456370856907,0.1054927790558679,0.0468483111685244,0.1054927790558679,0.0468483111685244,6.422121039177069,1.0602187917749415,6.422121039177069,1.0602187917749415,0.1367975932151548,0.1450239272937162,0.1367975932151548,0.1450239272937162
dl,tcn,classification,boruta_onchain,2018-03-17,long_only_band_0.01,7.172919202152446,0.4483719590538413,-0.6493996443900263,quantile_long_only_0.10,0.9629377131536392,6.001607806027259,-0.2441145015321047,0.5870223777104311,0.281145877958105,1.569351686295863,1.0832171854419068,5.9566324200989,1.1456202457852511,1.4017671289331135,1.3378167278580824,-0.2593872644432234,-0.3776940675690001,0.155575849579846,0.6339280874569223
dl,gru,classification,onchain,2018-03-17,quantile_ls_0.05,3.797344686715994,0.5706640548440386,-0.4449534743770066,quantile_long_only_0.05,0.7227043230407207,2.0642964704441984,-0.187740555698953,3.077110427339889,1.2904311135323585,1.6210846429772512,1.1993525107382137,0.1766531155365367,0.1529315623518206,0.1690948167791748,0.7404853902203519,0.0,0.0,0.0,0.0
ml,lgbm,classification,onchain,2018-03-17,long_only_sign,3.792914635041624,0.3165745356834344,-0.8054464845301532,long_only_sign,0.3165745356834344,3.792914635041624,-0.8054464845301532,1.1327470125600576,0.4383884375585012,1.1327470125600576,0.4383884375585012,0.9958609627583256,0.3483657875160957,0.9958609627583256,0.3483657875160957,0.1265415519468746,0.1625942522340656,0.1265415519468746,0.1625942522340656
ml,svm,classification,onchain,2018-03-17,long_only_sign,3.6867564591381514,0.2897538845790183,-0.728426059987761,quantile_long_only_0.05,0.3714357574555475,0.603799113557282,-0.2018360691755752,0.4296342665186123,0.1755114233235936,0.2483797988659373,0.4951783118333486,2.0031993620187034,0.5815715494922226,0.3666165174660818,0.6596868512358081,0.0915464072972738,0.0983707542880168,-0.0425597119320473,-0.1820259875490563
dl,cnn_lstm,classification,onchain,2018-03-17,quantile_long_only_0.10,2.627405625684289,0.67726423985383,-0.2682670770544467,quantile_long_only_0.10,0.67726423985383,2.627405625684289,-0.2682670770544467,2.0072264600332272,1.1854111748294212,2.0072264600332272,1.1854111748294212,0.1984251731572162,0.4295452020775869,0.1984251731572162,0.4295452020775869,0.0251187857173262,0.4483828119917524,0.0251187857173262,0.4483828119917524
