prediction_scope,model,task,variant,strategy,prediction_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,regression,boruta_onchain,long_only_sign,2018-03-17,5.0,0.5134228187919463,0.5134228187919463,0.0,6.74634739161623,0.19401576297801948,0.4966918844860055,-0.7175989057984865,0.27195064072140485,4214
oos,xgboost,regression,boruta_onchain,full_exposure_sign,2018-03-17,5.0,1.0,0.5134228187919463,0.4865771812080537,5.432884898267272,0.17495412110134057,0.33228537847382306,-0.7343298692138088,0.5434266729947793,4214
oos,xgboost,regression,boruta_onchain,sign_band_0.005,2018-03-17,5.0,0.23843164959378313,0.15895443306252208,0.07947721653126104,4.536338734162439,0.1597783689262624,0.5257712194853239,-0.7239998934857188,0.21642145230185098,4214
oos,xgboost,regression,boruta_onchain,quantile_ls_0.10,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,4.004024029665237,0.14966756021559324,0.5213112696459982,-0.6086626830853655,0.19269102990033224,4214
oos,xgboost,regression,boruta_onchain,long_only_band_0.005,2018-03-17,5.0,0.15895443306252208,0.15895443306252208,0.0,3.150403978306242,0.13119256341590946,0.5945219674459058,-0.5341106614238703,0.132890365448505,4214
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.10,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,3.0752818656826983,0.1294043097925346,0.6860493616684337,-0.32573786539193406,0.09159943046986237,4214
oos,xgboost,regression,boruta_onchain,long_only_band_0.0025,2018-03-17,5.0,0.28912045213705406,0.28912045213705406,0.0,3.0167769547624363,0.1279906442087173,0.43588176781268534,-0.6911344688337946,0.19648789748457524,4214
oos,xgboost,regression,boruta_onchain,quantile_ls_0.05,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,1.722361125541973,0.09061954875230116,0.38558640730090027,-0.4084856755706377,0.10441385856668249,4214
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.20,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,1.4459947712640635,0.08055401136094131,0.3218646802317482,-0.5694679560341543,0.15994304698623635,4214
oos,xgboost,regression,boruta_onchain,sign_band_0.0025,2018-03-17,5.0,0.4947015188979159,0.28912045213705406,0.20558106676086188,1.2367321077821032,0.07221574017832633,0.18348161158072518,-0.7814396497066733,0.38680588514475556,4214
oos,xgboost,regression,boruta_onchain,sign_band_0.01,2018-03-17,5.0,0.06870363829035676,0.050512186506534794,0.01819145178382197,0.9498110290254838,0.05954157971764373,0.277804760485935,-0.3983165618784538,0.07214048410061699,4214
oos,xgboost,regression,boruta_onchain,long_only_band_0.01,2018-03-17,5.0,0.050512186506534794,0.050512186506534794,0.0,0.2980154788647309,0.022849775261898575,0.1653078409091294,-0.38485881868429483,0.05078310393925012,4214
oos,xgboost,regression,boruta_onchain,quantile_long_only_0.05,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.2980154788647309,0.022849775261898575,0.1653078409091294,-0.38485881868429483,0.05078310393925012,4214
oos,xgboost,regression,boruta_onchain,quantile_ls_0.20,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,0.2845476839822134,0.02192615488410321,0.06067462349293587,-0.7743322871409044,0.3431419079259611,4214
