prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,lgbm,classification,boruta_all,long_only_sign,5.0,0.786471211586012,0.786471211586012,0.0,2.7783670998307453,0.12202827297365593,0.2547403406600026,-0.7048711744342596,0.1855719031798766,4214
oos,lgbm,classification,boruta_all,long_only_band_0.005,5.0,0.7613917343694807,0.7613917343694807,0.0,2.4691665532948286,0.1137614048347102,0.24127792162335082,-0.7269800304985621,0.20218319886093972,4214
oos,lgbm,classification,boruta_all,quantile_long_only_0.20,5.0,0.20434475450370893,0.20434475450370893,0.0,2.1661937151971578,0.10498040218692872,0.3960118177510005,-0.5357635709806897,0.17750355956336022,4214
oos,lgbm,classification,boruta_all,long_only_band_0.01,5.0,0.7251854468385729,0.7251854468385729,0.0,2.1025605468501896,0.10303898744404139,0.22108570404354588,-0.7463903374914431,0.21926910299003322,4214
oos,lgbm,classification,boruta_all,long_only_band_0.0025,5.0,0.7749911691981632,0.7749911691981632,0.0,2.0989431550892124,0.10292753339853866,0.21700674585494162,-0.7086305737737251,0.19553868058851448,4214
oos,lgbm,classification,boruta_all,quantile_ls_0.10,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,1.114803170466553,0.06702254533769358,0.26868637561588643,-0.3139115532717181,0.19601328903654486,4214
oos,lgbm,classification,boruta_all,quantile_long_only_0.10,5.0,0.10014129282938891,0.10014129282938891,0.0,0.8530771582510503,0.05488198306615599,0.27564100088264915,-0.50353717912711,0.10156620787850024,4214
oos,lgbm,classification,boruta_all,sign_band_0.005,5.0,0.954433062522077,0.7613917343694807,0.19304132815259625,0.5525895090691129,0.03883977748499934,0.07552936963714824,-0.814799714414801,0.3730422401518747,4214
oos,lgbm,classification,boruta_all,full_exposure_sign,5.0,1.0,0.786471211586012,0.21352878841398798,0.5304535176070593,0.0375484580345713,0.07147920139261413,-0.7874968199035919,0.3706691979117228,4214
oos,lgbm,classification,boruta_all,sign_band_0.0025,5.0,0.9784528435181915,0.7749911691981632,0.20346167432002826,0.3997050480413098,0.02955394271091416,0.05683300068985132,-0.8106573267869338,0.37636449928808735,4214
oos,lgbm,classification,boruta_all,quantile_long_only_0.05,5.0,0.05015895443306252,0.05015895443306252,0.0,0.3940494864212567,0.029192957530178365,0.18624897188413692,-0.4369706039797814,0.05600379686758424,4214
oos,lgbm,classification,boruta_all,quantile_ls_0.20,5.0,0.40462734016248675,0.20434475450370893,0.20028258565877782,0.3779419846079912,0.028157463132508553,0.08292202530466847,-0.5711807395563855,0.3559563360227812,4214
oos,lgbm,classification,boruta_all,sign_band_0.01,5.0,0.8998587071706111,0.7251854468385729,0.17467326033203814,0.28232006067332427,0.021772532829826163,0.043097199245166855,-0.8158374171546131,0.37778832463217843,4214
oos,lgbm,classification,boruta_all,quantile_ls_0.05,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.2240232563110065,0.017663020778067473,0.09487454506621944,-0.3995291480441187,0.1115329852871381,4214
