prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,xgboost,classification,univariate,long_only_band_0.01,5.0,0.5120098904980572,0.5120098904980572,0.0,0.49330368593050444,0.03534245348390219,0.09294021229314621,-0.7050989423571326,0.08827717133364973,4214
oos,xgboost,classification,univariate,long_only_sign,5.0,0.5724125750618156,0.5724125750618156,0.0,0.21324702876175605,0.01688385135483572,0.041121571867438235,-0.7113922076747285,0.07878500237304224,4214
oos,xgboost,classification,univariate,long_only_band_0.005,5.0,0.5607559166372307,0.5607559166372307,0.0,0.10924532590896696,0.009020786585844487,0.022069222542567702,-0.7113922076747287,0.08305647840531562,4214
oos,xgboost,classification,univariate,long_only_band_0.0025,5.0,0.5674673260332038,0.5674673260332038,0.0,0.074028881542328,0.006205019961755376,0.015136531215065106,-0.7113922076747287,0.07973421926910298,4214
oos,xgboost,classification,univariate,quantile_long_only_0.05,5.0,0.052101730837160014,0.052101730837160014,0.0,-0.27197888589873964,-0.027119593846041012,-0.21517955814552123,-0.3916334296249252,0.02895111532985287,4214
oos,xgboost,classification,univariate,quantile_ls_0.10,5.0,0.21264570823030732,0.10526315789473684,0.10738255033557047,-0.342512344443206,-0.03566896237086348,-0.16550556978645006,-0.5045348831711554,0.083531086853346,4214
oos,xgboost,classification,univariate,quantile_long_only_0.10,5.0,0.10526315789473684,0.10526315789473684,0.0,-0.3890390094064551,-0.041779771480457084,-0.23338568117222566,-0.5045348831711554,0.041765543426673,4214
oos,xgboost,classification,univariate,quantile_ls_0.05,5.0,0.11674320028258565,0.052101730837160014,0.06464146944542565,-0.40753362310398156,-0.04432762945342361,-0.2947919409859193,-0.43607434673052814,0.04841006169909824,4214
oos,xgboost,classification,univariate,quantile_ls_0.20,5.0,0.4212292476156835,0.21282232426704345,0.20840692334864006,-0.5643280056049411,-0.06943773703910905,-0.1879496306753333,-0.725178279207717,0.12055054579971523,4214
oos,xgboost,classification,univariate,quantile_long_only_0.20,5.0,0.21282232426704345,0.21282232426704345,0.0,-0.5901870202038175,-0.07435660267351407,-0.26475410097985774,-0.7586031746367227,0.05268153773137162,4214
oos,xgboost,classification,univariate,sign_band_0.01,5.0,0.9221123277993641,0.5120098904980572,0.41010243730130697,-0.7396098310380603,-0.11001289438432471,-0.22018077235017983,-0.8708071348773172,0.16563834836260086,4214
oos,xgboost,classification,univariate,sign_band_0.005,5.0,0.972624514305899,0.5607559166372307,0.4118685976686683,-0.8224338889259861,-0.13904085856750004,-0.2664046468800044,-0.878160049974763,0.1589938300901756,4214
oos,xgboost,classification,univariate,full_exposure_sign,5.0,1.0,0.5724125750618156,0.4275874249381844,-0.8421987951684531,-0.14779615460534,-0.2809609386999393,-0.8886008563434815,0.1570953962980541,4214
oos,xgboost,classification,univariate,sign_band_0.0025,5.0,0.9879901095019428,0.5674673260332038,0.42052278346873895,-0.8509544775128489,-0.1519994025298107,-0.29015247056453214,-0.8947818960658043,0.15804461319411486,4214
