prediction_scope,model,task,variant,strategy,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,rf,regression,univariate,quantile_long_only_0.05,5.0,0.050335570469798654,0.050335570469798654,0.0,-0.38114055963233584,-0.04071307365442123,-0.31458091720723547,-0.44869353456732797,0.03179876601803512,4214
oos,rf,regression,univariate,long_only_sign,5.0,0.4925821264570823,0.4925821264570823,0.0,-0.4520075122894871,-0.05076511538549289,-0.13837188191766137,-0.7405434957095457,0.12387280493592787,4214
oos,rf,regression,univariate,long_only_band_0.0025,5.0,0.30148357470858356,0.30148357470858356,0.0,-0.5444006213808802,-0.06582590164309876,-0.2243534124542051,-0.7264264786319128,0.09871855719031798,4214
oos,rf,regression,univariate,long_only_band_0.01,5.0,0.10102437301306959,0.10102437301306959,0.0,-0.6843346416664813,-0.0950490956928215,-0.519484658497595,-0.6897531663632688,0.053630754627432366,4214
oos,rf,regression,univariate,quantile_long_only_0.10,5.0,0.10031790886612504,0.10031790886612504,0.0,-0.6853493465418099,-0.0953014289967864,-0.5208644561300882,-0.690750453415318,0.054105363075462744,4214
oos,rf,regression,univariate,quantile_ls_0.05,5.0,0.11038502296008477,0.050335570469798654,0.06004945249028612,-0.7293393077912036,-0.10702578961041631,-0.4885397099221634,-0.7952463862654319,0.054105363075462744,4214
oos,rf,regression,univariate,long_only_band_0.005,5.0,0.21246909219357119,0.21246909219357119,0.0,-0.7475854326279625,-0.1124077179378723,-0.46478467274778373,-0.7642974426584855,0.07451352634076887,4214
oos,rf,regression,univariate,quantile_long_only_0.20,5.0,0.2027552101730837,0.2027552101730837,0.0,-0.7597235267385034,-0.1161884767266701,-0.484349941726071,-0.7760009706004173,0.07831039392501186,4214
oos,rf,regression,univariate,quantile_ls_0.10,5.0,0.22518544683857294,0.10031790886612504,0.1248675379724479,-0.8725763626853453,-0.16343383320920768,-0.5197104707910665,-0.9052592499456629,0.07593735168485999,4214
oos,rf,regression,univariate,sign_band_0.01,5.0,0.38802543270929,0.10102437301306959,0.2870010596962204,-0.8926129782221848,-0.1757387554969143,-0.4966375690308374,-0.9313061800772775,0.11295681063122924,4214
oos,rf,regression,univariate,quantile_ls_0.20,5.0,0.4321794418933239,0.2027552101730837,0.2294242317202402,-0.9039301290493785,-0.18365125194563126,-0.4920884661323452,-0.9382165608161811,0.15045087802562884,4214
oos,rf,regression,univariate,sign_band_0.0025,5.0,0.6986930413281526,0.30148357470858356,0.3972094666195691,-0.9377664751657678,-0.21378166596911197,-0.4756024986756792,-0.95459692530477,0.2064546748932131,4214
oos,rf,regression,univariate,sign_band_0.005,5.0,0.5379724478982691,0.21246909219357119,0.32550335570469796,-0.9394756347072973,-0.21567579290719607,-0.5374971910357014,-0.9609342495866732,0.16184148077835786,4214
oos,rf,regression,univariate,full_exposure_sign,5.0,1.0,0.4925821264570823,0.5074178735429177,-0.9678392063694246,-0.25747590339702553,-0.48935814566844615,-0.9761000212736193,0.24774560987185573,4214
